pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
TOI-5340 b,TOI-5340,TIC 14156936,0.0628,15.07607904,270.15414595,,5990.0,1.842,1.35,3.940,3.5,F9.5V,0.00100,0.1,1.23,47.3,0.99347,999.0,2.45234,999.0,2.76943,999.0,3.55634,999.0,3.81519,999.0,3.40616,966.1
TOI-1136 c,TOI-1136,TIC 142276270,0.0669,2.879,6.32,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,16.6,2.65767,210.0,6.56033,210.0,7.40861,210.0,9.51369,210.0,10.20617,210.0,6.82689,152.2
TOI-1136 g,TOI-1136,TIC 142276270,0.229,2.53,5.6,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,16.6,0.19605,17.9,0.48395,17.9,0.54653,17.9,0.70182,17.9,0.75290,17.9,0.50362,13.0
TOI-1136 e,TOI-1136,TIC 142276270,0.14,2.639,6.07,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,17.0,0.50669,48.0,1.25075,48.0,1.41248,48.0,1.81382,48.0,1.94585,48.0,1.30158,34.7
TOI-1136 b,TOI-1136,TIC 142276270,0.05106,1.9,3.5,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,15.2,4.27587,360.6,10.55481,360.6,11.91958,360.6,15.30642,360.6,16.42053,360.6,10.98367,261.2
TOI-1136 f,TOI-1136,TIC 142276270,0.174,3.73591482,9.7,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,18.0,0.36443,31.0,0.89957,31.0,1.01589,31.0,1.30455,31.0,1.39950,31.0,0.93612,22.5
TOI-1136 d,TOI-1136,TIC 142276270,0.1062,4.627,8.35,,5770.0,0.968,1.022,0.940,0.7,G2V,0.00100,0.1,1.23,15.0,2.50806,83.3,6.19104,83.3,6.99157,83.3,8.97815,83.3,9.63165,83.3,6.44260,60.4
TOI-1823 b,TOI-1823,TIC 142381532,0.212,7.5406241,67.4,,4927.0,0.8049,0.8414,0.346,6.3,K3V,0.00100,0.1,1.23,33.4,0.01539,7.7,0.03799,7.7,0.04290,7.7,0.05509,7.7,0.05910,7.7,0.05650,8.0
TOI-1824 b,TOI-1824,TIC 142387023,0.151,2.7438269,16.0,,5165.0,0.8123,0.8801,0.424,2.5,K1V,0.00100,0.1,1.23,27.0,0.03178,18.6,0.07845,18.6,0.08860,18.6,0.11377,18.6,0.12205,18.6,0.10406,17.2
TOI-1268 b,TOI-1268,TIC 142394656,0.0711,9.1,96.4,K1-K2,5300.0,0.92,0.96,0.515,0.245,K0V,0.00100,0.1,1.23,36.4,0.17511,102.0,0.43225,102.0,0.48814,102.0,0.62685,102.0,0.67247,102.0,0.31691,52.0
TOI-6420 b,TOI-6420,TIC 143526233,0.0753,11.93756445,2606.1929374,,6020.0,1.312,1.165,2.050,4.4,F9V,0.00100,0.1,1.23,165.2,0.00192,361.5,0.00473,361.5,0.00535,361.5,0.00687,361.5,0.00737,361.5,0.00676,359.7
TOI-3877 b,TOI-3877,TIC 144310492,0.0529,11.67975789,99.798119798,,5731.0,1.445,1.16,2.030,5.9,G3V,0.00100,0.1,1.23,32.7,2.45797,725.4,6.06740,725.4,6.85194,725.4,8.79885,725.4,9.43929,725.4,8.96119,745.9
TOI-1803 c,TOI-1803,TIC 144401492,0.097,4.29,8.0,,4687.0,0.715,0.756,0.222,1.4,K4V,0.00100,0.1,1.23,15.3,0.61650,23.6,1.52179,23.6,1.71857,23.6,2.20688,23.6,2.36751,23.6,1.83611,19.8
TOI-1803 b,TOI-1803,TIC 144401492,0.06,2.99,10.32,,4687.0,0.715,0.756,0.222,1.4,K4V,0.00100,0.1,1.23,20.8,0.32782,61.7,0.80921,61.7,0.91384,61.7,1.17350,61.7,1.25891,61.7,0.97634,51.8
TOI-532 b,TOI-532,TIC 144700903,0.0296,5.82,61.5,,3927.0,0.612,0.639,0.080,7.1,K9V,0.00100,0.1,1.23,36.3,0.10118,91.7,0.24975,91.7,0.28205,91.7,0.36219,91.7,0.38855,91.7,0.37605,96.1
TOI-942 c,TOI-942,TIC 146520535,0.08598,4.67,37.0,K2.5 V,4969.0,0.894,0.822,0.438,0.053,K2V,0.00100,0.1,1.23,31.5,0.09336,59.2,0.23045,59.2,0.26025,59.2,0.33420,59.2,0.35852,59.2,0.04948,8.9
