pl_name,hostname,tic_id,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_rad,st_mass,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma
TOI-954 b,TOI-954,TIC 44792534,0.04963,9.550068,55.30242,,5710.0,1.892,1.201,3.430,6.14,G3V,0.001,0.1,1.23
TOI-3135 b,TOI-3135,TIC 448098793,0.04756,13.65253849,327.36325921,,5890.0,0.985,1.044,1.050,1.8,G1V,0.001,0.1,1.23
LP 890-9 b,LP 890-9,TIC 44898913,0.01875,1.32,13.2,M6 V,2850.0,0.1556,0.118,0.001,7.2,M6V,0.0001,0.6,1.23
TOI-2458 b,TOI-2458,TIC 449197831,0.0482,2.83,13.31,F9-F9.5,6005.0,1.31,1.05,2.194,5.7,F9.5V,0.001,0.1,1.23
TOI-3071 b,TOI-3071,TIC 452006073,0.0249,7.16,68.2,,6177.0,1.31,1.29,2.610,0.95,F8V,0.001,0.1,1.23
GJ 3473 b,GJ 3473,TIC 452866790,0.01589,1.264,1.86,M4,3347.0,0.364,0.36,0.015,nan,M3.5V,0.001,0.6,1.23
HD 63935 b,HD 63935,TIC 453211454,0.083,2.91575244,10.5,,5513.0,0.9598,0.9406,0.768,6.6,G8V,0.001,0.1,1.23
TOI-3023 b,TOI-3023,TIC 454248975,0.0505,16.43236571,197.05361234,,5760.0,1.668,1.12,2.780,7.0,G2V,0.001,0.1,1.23
TOI-3629 b,TOI-3629,TIC 455784423,0.043,8.29464572,82.63538582,M1,3870.0,0.6,0.63,0.075,7.0,M0V,0.001,0.6,1.23
TOI-4515 b,TOI-4515,TIC 456862677,0.118,12.17,637.0,G8/G9,5433.0,0.86,0.949,0.581,1.2,G8V,0.001,0.1,1.23
TOI-3785 b,TOI-3785,TIC 458419328,0.043,5.14,14.95,M2 V,3576.0,0.5,0.52,0.037,8.0,M2V,0.001,0.6,1.23
TOI-7149 b,TOI-7149,TIC 459323923,0.02603,13.2,224.0,M4 V,3363.0,0.351,0.344,0.012,7.8,M3V,0.001,0.6,1.23
TOI-5573 b,TOI-5573,TIC 459762279,0.0712,9.75,112.0,,3790.0,0.594,0.619,0.069,9.7,M0.5V,0.001,0.6,1.23
TOI-837 b,TOI-837,TIC 460205581,0.0888,9.16894621,120.456966253,F9/G0,5995.0,1.052,1.142,1.340,0.035,F9.5V,0.001,0.1,1.23
TOI-784 b,HD 307842,TIC 460984940,0.038,1.93,9.67,G,5558.0,0.907,0.91,0.645,nan,G7V,0.001,0.1,1.23
TOI-3362 b,TOI-3362,TIC 464300749,0.153,12.80065596,1598.359058803,,6532.0,1.83,1.445,5.480,2.14,F5V,0.001,0.1,1.23
TIC 46432937 b,TIC 46432937,TIC 46432937,0.02065,13.31626907,1017.0509024,,3572.0,0.5299,0.563,0.041,7.4,M2V,0.001,0.6,1.23
