pl_name,hostname,pl_orbsmax,pl_rade,pl_masse,st_spectype,st_teff,st_lum,st_age,SpT_PM,Lxuv/Lbol,t_sat,gamma,v_esc,"Loss/0.01protoatm., t=0.1 Gyr",insol_0.1_Gyr,"Loss/0.01protoatm., t=0.6 Gyr",insol_0.6_Gyr,"Loss/0.01protoatm., t=1.0 Gyr",insol_1.0_Gyr,"Loss/0.01protoatm., t=5.0 Gyr",insol_5.0_Gyr,"Loss/0.01protoatm., t=10.0 Gyr",insol_10.0_Gyr,"Loss/0.01protoatm., star_age",insol_star_age
Kepler-849 b,Kepler-849,1.137,8.08167508,298.75870258,,5950.0,3.73999,4.7,G0V,0.00100,0.1,1.23,68.0,0.00025164,2.89300,0.00062116,2.89300,0.00070148,2.89300,0.00090080,2.89300,0.00096637,2.89300,0.00089443,2.90026
Kepler-85 b,Kepler-85,0.07885,1.778,1.84,,5505.2,0.61334,1.38,G8V,0.00100,0.1,1.23,11.4,2.40893757,98.64989,5.94635819,98.64989,6.71524177,98.64989,8.62331470,98.64989,9.25098167,98.64989,7.15560112,82.64983
Kepler-85 c,Kepler-85,0.10363,1.978,2.15,,5505.2,0.61334,1.38,G8V,0.00100,0.1,1.23,11.7,1.40637216,57.11221,3.47156885,57.11221,3.92045407,57.11221,5.03441431,57.11221,5.40085525,57.11221,4.17754215,47.84917
Kepler-85 d,Kepler-85,0.13,1.2,8.69679,,5436.0,0.61334,1.38,G8V,0.00100,0.1,1.23,30.1,0.01219575,36.29220,0.03010467,36.29220,0.03399730,36.29220,0.04365732,36.29220,0.04683501,36.29220,0.03622672,30.40596
Kepler-85 e,Kepler-85,0.163,1.27,0.6,,5436.0,0.61334,1.38,G8V,0.00100,0.1,1.23,7.7,1.93198064,23.08473,4.76901063,23.08473,5.38565932,23.08473,6.91594388,23.08473,7.41933610,23.08473,5.73882985,19.34061
Kepler-87 b,Kepler-87,0.481,13.49,324.2,,5600.0,2.11856,7.5,G6V,0.00100,0.1,1.23,54.8,0.00314578,9.15693,0.00776523,9.15693,0.00876930,9.15693,0.01126102,9.15693,0.01208068,9.15693,0.01175627,9.65195
Kepler-87 c,Kepler-87,0.676,6.14,6.4,,5600.0,2.11856,7.5,G6V,0.00100,0.1,1.23,11.4,0.38535508,4.63603,0.95123235,4.63603,1.07422981,4.63603,1.37946212,4.63603,1.47986932,4.63603,1.44012994,4.88666
Kepler-9 b,Kepler-9,0.143,8.29,43.4,,5774.0,0.91622,2.0,G2V,0.00100,0.1,1.23,25.6,0.19933400,44.80515,0.49204735,44.80515,0.55567068,44.80515,0.71355929,44.80515,0.76549728,44.80515,0.63087594,39.99588
Kepler-9 c,Kepler-9,0.227,8.08,29.9,,5774.0,0.91622,2.0,G2V,0.00100,0.1,1.23,21.5,0.15431541,17.78068,0.38092092,17.78068,0.43017525,17.78068,0.55240551,17.78068,0.59261356,17.78068,0.48839577,15.87215
Kepler-91 b,Kepler-91,0.0731,15.322703,257.4423,K3,4550.0,16.78804,4.47,K4V,0.00100,0.1,1.23,45.8,2.50830821,3141.70386,6.19165032,3141.70386,6.99225098,3141.70386,8.97903348,3141.70386,9.63259223,3141.70386,8.86325284,3131.13851
Kepler-92 b,Kepler-92,0.12232,3.51,64.3,,5883.0,3.61560,3.98,G1V,0.00100,0.1,1.23,47.9,0.03717524,241.64903,0.09176547,241.64903,0.10363105,241.64903,0.13307684,241.64903,0.14276313,241.64903,0.12953550,237.48975
Kepler-92 c,Kepler-92,0.19054,2.6,6.1,,5883.0,3.61560,3.98,G1V,0.00100,0.1,1.23,17.1,0.69189050,99.58815,1.70790177,99.58815,1.92873906,99.58815,2.47677217,99.58815,2.65704949,99.58815,2.41086219,97.87403
Kepler-93 b,Kepler-93,0.05343,1.478,4.66,,5669.0,0.78406,6.6,G5V,0.00100,0.1,1.23,19.9,0.60062090,274.65003,1.48260670,274.65003,1.67431260,274.65003,2.15005281,274.65003,2.30654915,274.65003,2.21574508,285.77472
Kepler-94 b,Kepler-94,0.03377,3.51,10.84,M0 V,4781.0,0.24351,1.41,K3V,0.00100,0.1,1.23,19.6,1.15581940,213.52950,2.85309020,213.52950,3.22200410,213.52950,4.13750633,213.52950,4.43866385,213.52950,3.44684894,179.60356
Kepler-94 c,Kepler-94,1.596806621,12.5,3126.0,M0 V,4781.0,0.24351,1.41,K3V,0.00100,0.1,1.23,176.8,0.00000028,0.09550,0.00000069,0.09550,0.00000078,0.09550,0.00000101,0.09550,0.00000108,0.09550,0.00000084,0.08033
Kepler-95 b,Kepler-95,0.10232,3.42,13.0,,5699.0,1.91007,5.63,G4V,0.00100,0.1,1.23,21.8,0.63516984,182.44373,1.56788927,182.44373,1.77062249,182.44373,2.27372825,182.44373,2.43922657,182.44373,2.30396672,186.65519
Kepler-96 b,Kepler-96,0.1261,2.67,8.46,,5690.0,0.88652,2.34,G4V,0.00100,0.1,1.23,19.9,0.21808320,55.75192,0.53832893,55.75192,0.60793663,55.75192,0.78067611,55.75192,0.83749935,55.75192,0.70709972,50.98508
Kepler-97 b,Kepler-97,0.03563,1.48,3.51,,5779.0,0.94395,8.42,G2V,0.00100,0.1,1.23,17.2,2.87778659,743.56400,7.10369172,743.56400,8.02222232,743.56400,10.30166151,743.56400,11.05149065,743.56400,10.87644876,792.63215
Kepler-98 b,Kepler-98,0.02614,1.99,3.55,,5539.0,0.73580,2.79,G7V,0.00100,0.1,1.23,14.9,9.90422899,1076.83418,24.44816085,1076.83418,27.60938808,1076.83418,35.45433662,1076.83418,38.03495867,1076.83418,32.93964881,1010.11756
L 98-59 b,L 98-59,0.0223,0.837,0.46,M3 V,3415.0,0.01220,4.94,M3V,0.00100,0.6,1.23,8.3,0.99995464,24.53298,5.99972785,59.63154,8.89134892,78.25309,16.06723880,110.11907,18.42777176,117.72820,16.02269918,110.87419
L 98-59 c,L 98-59,0.0309,1.329,2.0,M3 V,3415.0,0.01220,4.94,M3V,0.00100,0.6,1.23,13.7,0.11028776,12.77742,0.66172655,31.05766,0.98065142,40.75626,1.77210013,57.35289,2.03244982,61.31593,1.76718773,57.74617
L 98-59 d,L 98-59,0.0494,1.627,1.64,M3 V,3415.0,0.01220,4.94,M3V,0.00100,0.6,1.23,11.2,0.11774714,4.99926,0.70648286,12.15155,1.04697843,15.94621,1.89195729,22.43977,2.16991591,23.99034,1.88671264,22.59364
LHS 1140 b,LHS 1140,0.0946,1.73,5.6,M4.5 V,3096.0,0.00380,5.0,M4.5V,0.00010,0.6,1.23,20.1,0.00010312,0.04246,0.00061870,0.10321,0.00091689,0.13544,0.00165688,0.19059,0.00190030,0.20376,0.00165688,0.19243
LHS 1140 c,LHS 1140,0.027,1.272,1.91,M4.5 V,3096.0,0.00380,5.0,M4.5V,0.00010,0.6,1.23,13.7,0.00432530,0.52126,0.02595181,1.26700,0.03845951,1.66266,0.06949880,2.33972,0.07970928,2.50140,0.06949880,2.36232
LHS 1903 b,LHS 1903,0.02656,1.382,3.28,M,3664.0,0.04737,7.08,M1V,0.00100,0.6,1.23,17.2,0.24231462,67.14812,1.45388772,163.21482,2.15460156,214.18305,3.89350345,301.40199,4.46552104,322.22862,4.19194591,327.63833
LHS 1903 c,LHS 1903,0.05387,2.046,4.55,M,3664.0,0.04737,7.08,M1V,0.00100,0.6,1.23,16.7,0.09932520,16.32285,0.59595122,39.67544,0.88317509,52.06517,1.59595414,73.26698,1.83042519,78.32967,1.71828625,79.64470
LHS 1903 d,LHS 1903,0.08604,2.5,5.96,M,3664.0,0.04737,7.08,M1V,0.00100,0.6,1.23,17.3,0.04139863,6.39866,0.24839181,15.55303,0.36810640,20.40988,0.66519192,28.72113,0.76291920,30.70573,0.71617981,31.22123
LHS 1903 e,LHS 1903,0.15135,1.732,5.79,M,3664.0,0.04737,7.08,M1V,0.00100,0.6,1.23,20.4,0.00471391,2.06788,0.02828344,5.02633,0.04191489,6.59594,0.07574290,9.28191,0.08687074,9.92328,0.08154870,10.08988
LHS 3844 b,LHS 3844,0.00624,1.286,2.37,M4.5-M5.0,3080.0,0.00272,7.8,M5V,0.00010,0.6,1.23,15.2,0.03890419,6.98555,0.23342513,16.97956,0.34592640,22.28189,0.62511123,31.35545,0.71695001,33.52209,0.68570005,34.72669
LP 261-75 b,LP 261-75 A,450.0,12.1,6674.396547,M4.5 V,3138.0,0.00820,0.15,M4.5V,0.00010,0.6,1.23,262.6,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000,0.00000000,0.00000
LP 791-18 c,LP 791-18,0.02961,2.488,7.16,M(6.1 +/- 0.7) V,2960.0,0.00230,0.5,M5.5V,0.00010,0.6,1.23,19.0,0.00115917,0.26233,0.00695503,0.63764,0.01030706,0.83677,0.01862553,1.17751,0.02136191,1.25888,0.00579586,0.36995
LP 791-18 d,LP 791-18,0.01992,1.032,0.91,M(6.1 +/- 0.7) V,2960.0,0.00230,0.5,M5.5V,0.00010,0.6,1.23,10.5,0.01131558,0.57963,0.06789350,1.40889,0.10061537,1.84885,0.18181843,2.60174,0.20853045,2.78152,0.05657792,0.81742
LP 890-9 b,LP 890-9,0.01875,1.32,13.2,M6 V,2850.0,0.00144,7.2,M6V,0.00010,0.6,1.23,35.4,0.00007958,0.40988,0.00047748,0.99628,0.00070760,1.30740,0.00127868,1.83980,0.00146654,1.96692,0.00138123,2.00654
